activity_type,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,power,stance_time,stance_time_balance,stance_time_percent,step_length,temperature,vertical_oscillation,vertical_ratio,unknown_107,unknown_134,unknown_135,unknown_136,unknown_140,unknown_143,unknown_87,accumulated_power,unknown_90,power_wkg,hr_rolling,power_rolling,cadence_rolling,speed_rolling,altitude_rolling,vo_rolling,vr_rolling,efficiency_score,efficiency_category
running,0,0.34,15.399999999999977,2.361,0.0,69,156109811,956974458,0,,,,,25,,,0,,49,69,2361,74,0.0,,,0.0,69.0,0.0,0.0,2.361,15.399999999999977,,,0.0,Inefficient
running,0,0.85,15.600000000000023,0.0,0.0,69,156109655,956974460,0,,,,,25,,,1,,49,69,0,74,0.0,,,0.0,69.0,0.0,0.0,1.1805,15.5,,,0.0,Inefficient
running,0,1.82,15.600000000000023,0.0,0.0,69,156109613,956974393,0,,,,,25,,,1,,49,69,0,74,0.0,,,0.0,69.0,0.0,0.0,0.787,15.53333333333334,,,0.0,Inefficient
running,0,2.36,15.600000000000023,0.0,0.0,69,156109620,956974341,0,,,,,25,,,1,,49,69,0,74,593.0,,,0.0,69.0,0.0,0.0,0.59025,15.550000000000011,,,0.0,Inefficient
running,0,3.19,15.600000000000023,0.0,0.0,69,156109687,956974206,0,,,,,25,,,1,,49,69,0,74,,,,0.0,69.0,0.0,0.0,0.47220000000000006,15.560000000000013,,,0.0,Inefficient
running,47,3.79,15.600000000000023,0.0,0.0,69,156109760,956974090,0,,,,,25,,,1,,49,69,0,74,578.0,,,0.0,69.0,0.0,7.833333333333333,0.3935,15.566666666666682,,,0.0,Inefficient
running,47,4.88,15.600000000000023,0.7,0.0,70,156109766,956973980,60,,,,,25,53.0,,1,,60,70,700,74,0.0,60.0,,0.8333333333333334,69.14285714285714,0.11904761904761905,13.428571428571429,0.4372857142857143,15.571428571428587,53.0,,0.012844899208535574,Inefficient
running,47,6.15,15.399999999999977,0.812,0.0,71,156109807,956973870,65,,,,,25,53.9,,1,,63,71,803,74,0.0,125.0,,0.9027777777777778,69.375,0.2170138888888889,17.625,0.484125,15.550000000000011,53.45,,0.030629587921254586,Inefficient
running,0,7.59,15.399999999999977,1.036,0.0,71,156109805,956973732,34,,,,,25,,,1,,63,71,1025,74,0.0,125.0,,0.4722222222222222,69.55555555555556,0.24537037037037038,15.666666666666666,0.5454444444444445,15.53333333333334,53.45,,0.030703960083619298,Inefficient
running,0,8.67,15.399999999999977,1.064,0.0,72,156109843,956973603,34,,,,,25,,,1,,66,72,1052,74,1492.0,125.0,,0.4722222222222222,69.8,0.26805555555555555,14.1,0.5973,15.520000000000005,53.45,,0.030082643531783936,Inefficient
running,53,9.46,15.600000000000023,1.288,0.5,72,156109881,956973468,36,,,,715.0,25,57.7,8.07,1,,66,72,1274,74,7310.0,229.0,,0.5,70.0,0.28914141414141414,17.636363636363637,0.6600909090909091,15.527272727272733,54.86666666666667,8.07,0.04047145335024123,Inefficient
running,53,10.68,15.600000000000023,1.288,0.5,72,156109851,956973336,106,,,,715.0,25,57.7,8.07,1,,66,72,1274,74,591.0,335.0,,1.4722222222222223,70.16666666666667,0.38773148148148145,20.583333333333332,0.7124166666666666,15.53333333333334,55.575,8.07,0.06318928208361435,Inefficient
running,53,11.94,15.600000000000023,1.129,0.5,72,156109774,956973224,91,,,,,25,56.4,,1,,66,72,1117,74,566.0,426.0,,1.2638888888888888,70.3076923076923,0.4551282051282052,23.076923076923077,0.7444615384615385,15.538461538461547,55.739999999999995,8.07,0.08299201406422413,Inefficient
running,53,13.37,15.600000000000023,1.129,0.5,73,156109745,956973073,90,,,,,25,56.4,,1,,76,73,1117,74,0.0,516.0,,1.25,70.5,0.511904761904762,25.214285714285715,0.7719285714285714,15.542857142857153,55.85,8.07,0.10171247379960653,Inefficient
running,61,15.03,15.600000000000023,1.222,0.0,73,156109738,956972860,105,,,,,25,57.2,,1,,76,73,1209,74,523.0,621.0,,1.4583333333333333,70.66666666666667,0.575,27.6,0.8019333333333333,15.546666666666678,56.042857142857144,8.07,0.12476415094339621,Inefficient
running,70,16.22,15.600000000000023,1.334,0.5,73,156109733,956972699,130,409.0,,,571.0,25,59.3,10.37,1,,76,73,1320,74,4554.0,751.0,,1.8055555555555556,70.8125,0.6519097222222222,30.25,0.8351875,15.550000000000011,56.45,8.836666666666666,0.1547142814335371,Inefficient
running,71,18.71,15.600000000000023,1.372,0.5,73,156109688,956972486,152,358.0,,,579.0,25,69.2,11.95,1,,76,73,1368,74,527.0,903.0,,2.111111111111111,70.94117647058823,0.7377450980392157,32.64705882352941,0.866764705882353,15.5529411764706,57.86666666666666,9.615,0.18861642224606814,Inefficient
