feature,importance
decoupling_score,0.05993815781198224
steady_hr_std,0.04059374795965267
aerobic_drift_pct,0.03283205243062086
fatigue_resilience_score,0.03234497462804623
hr_z1_sec,0.029130308833451354
zone2_avg_power,0.027998898145200304
stability_score,0.025199159396222366
power_hr_decoupling_pct,0.024116853410056024
steady_hr_rise_bpm,0.023245391982522384
best_pace_min_per_km,0.022465165747321804
max_power,0.019876489697996935
max_power_wkg,0.019821968908590126
hr_z3_pct,0.018209085801037223
ef_score,0.01746453820429338
pace_durability_pct,0.017185764129324887
avg_power,0.01674995752444884
steady_avg_power,0.016071244019117293
power_z2_pct,0.015774607232620988
power_z3_pct,0.014735641352035221
drift_delta_vs_reference_pct_pts,0.014633294361185406
best_speed_mps,0.014161749013511799
speed_per_hr,0.013992571948163312
avg_running_cadence,0.013859055589898382
total_ascent_m,0.01374892527015296
hr_readings,0.013569537105229634
cadence_stability_cv_pct,0.013518746323738503
steady_hr_change_vs_reference_pct,0.013306609849765104
avg_vertical_oscillation_mm,0.012938156228267364
weight_kg,0.012594692526396167
steady_speed_per_hr,0.012266046684956703
normalized_power,0.011862956762085153
hr_change_at_similar_pace_pct,0.011822493100410277
duration_min,0.011759313500863306
running_economy_w_per_mps,0.011710184998268296
avg_stance_time_ms,0.01169369402183471
energy_cost_j_per_m,0.011676523973193718
avg_stride_length_m,0.011268400350582733
ef_change_vs_reference_pct,0.011121217861548295
hr_z4_pct,0.010826727930590599
power_z1_sec,0.010825813127420843
zone2_pace_min_per_km,0.010560858118890404
distance_km,0.010365374075103977
hr_z1_pct,0.01031024411913417
avg_speed_mps,0.009840821159343448
rolling_3run_total_work_kj,0.009835833728068963
total_descent_m,0.009755023112346464
power_z2_sec,0.00969276033945178
steady_power_per_hr,0.00948672411615442
steady_end_km,0.009046150740711741
hr_z2_sec,0.008910408325935013
week,0.008739804377504568
max_temperature_c,0.007447452125189587
functional_threshold_power,0.007015770150884193
power_per_hr,0.00666755266387337
rolling_3run_training_effect,0.006524219674604647
avg_vertical_ratio_pct,0.006102976523042296
hr_z3_sec,0.006040487176899118
steady_avg_speed_mps,0.00597023030805115
steady_start_km,0.005922684745682213
resting_heart_rate,0.005637335598620026
zone2_avg_hr,0.005569181864326597
std_hr,0.005474885852733424
min_hr,0.005355455374989778
hr_cost_change_vs_reference_pct,0.005055961196930008
power_z3_sec,0.005018829484181135
zone2_duration_min,0.0050087694871159185
total_work_kj,0.004984596445476194
threshold_heart_rate,0.004450168097591365
hr_z4_sec,0.004430441517560963
temperature_vs_median_c,0.004175249835364393
steady_pace_str,0.003946409796870026
steady_avg_hr,0.0037791337331957793
max_hr,0.0037522520068673545
moving_speed_mps,0.003530868379685405
power_z5_pct,0.0033114026503746606
aerobic_training_effect,0.0032483512408107928
pace_change_at_similar_hr_pct,0.0032003856025139906
max_running_cadence,0.003087058368708096
recovery_time_recommendation_h,0.002911962181092654
pace_change_vs_reference_pct,0.0027275015712830025
hr_z2_pct,0.002355660982317864
stress_level,0.002303111921306404
avg_temperature_c,0.0017521545216149079
avg_hr,0.0012542030241541886
power_z1_pct,0.0012536414807949286
rolling_3run_duration_min,0.0012032985141722577
avg_power_wkg,0.001133742861895507
power_stability_cv_pct,0.0010854079094011339
hrv_status,0.00108532907276349
steady_pace_min_per_km,0.0008016882154108663
power_z4_sec,0.0006753981939465424
pace_str,0.0005617195628547209
power_z5_sec,0.00033562495243413674
moving_pace_min_per_km,0.00026150347509171484
pace_min_per_km,0.00012756365358951264
max_heart_rate_setting,7.658048484378215e-06
recovery_hr_60s_bpm,0.0
anaerobic_training_effect,0.0
body_battery_before_run,0.0
vo2max,0.0
measured_load_focus_category,0.0
exercise_load,0.0
left_right_balance_pct,0.0
power_z4_pct,0.0
hr_z5_sec,0.0
hr_z5_pct,0.0
