file,date,filename_date,filename_mismatch,workout_title,avg_hr,max_hr,min_hr,std_hr,hr_readings,avg_power,normalized_power,max_power,avg_speed_mps,moving_speed_mps,best_speed_mps,pace_min_per_km,moving_pace_min_per_km,best_pace_min_per_km,duration_min,distance_km,total_ascent_m,total_descent_m,avg_temperature_c,max_temperature_c,power_per_hr,speed_per_hr,aerobic_drift_pct,power_hr_decoupling_pct,pace_durability_pct,recovery_hr_120s_bpm,settled_hr_120s_bpm,recovery_hr_60s_bpm,power_stability_cv_pct,cadence_stability_cv_pct,avg_running_cadence,max_running_cadence,avg_stride_length_m,avg_stance_time_ms,avg_vertical_oscillation_mm,avg_vertical_ratio_pct,left_right_balance_pct,aerobic_training_effect,anaerobic_training_effect,exercise_load,estimated_sweat_loss_ml,estimated_sweat_loss_l,measured_load_focus_category,estimated_load_focus_category,vo2max,body_battery_before_run,hrv_status,stress_level,recovery_time_recommendation_h,sleep_time_profile,wake_time_profile,resting_heart_rate,weight_kg,avg_power_wkg,max_power_wkg,functional_threshold_power,threshold_heart_rate,max_heart_rate_setting,hr_zone_source,power_zone_source,running_economy_w_per_mps,energy_cost_j_per_m,total_work_kj,fatigue_resilience_score,hr_z1_sec,hr_z1_pct,hr_z2_sec,hr_z2_pct,hr_z3_sec,hr_z3_pct,hr_z4_sec,hr_z4_pct,hr_z5_sec,hr_z5_pct,power_z1_sec,power_z1_pct,power_z2_sec,power_z2_pct,power_z3_sec,power_z3_pct,power_z4_sec,power_z4_pct,power_z5_sec,power_z5_pct,zone2_duration_min,zone2_avg_hr,zone2_pace_min_per_km,zone2_avg_power,steady_start_km,steady_end_km,steady_avg_hr,steady_avg_speed_mps,steady_pace_min_per_km,steady_avg_power,steady_speed_per_hr,steady_power_per_hr,steady_hr_rise_bpm,steady_hr_std,week,day_name,date_str,pace_str,steady_pace_str,duration_bucket,ef_score,decoupling_score,stability_score,easy_run_score,score_label,timeline_status,timeline_note,reference_date,pace_change_vs_reference_pct,steady_hr_change_vs_reference_pct,ef_change_vs_reference_pct,drift_delta_vs_reference_pct_pts,hr_cost_change_vs_reference_pct,pace_change_at_similar_hr_pct,hr_change_at_similar_pace_pct,rolling_3run_duration_min,rolling_3run_total_work_kj,rolling_3run_training_effect,temperature_vs_median_c
2026-04-16_thursday_easy.fit,2026-04-16 05:27:56,2026-04-16,False,45Min Easy,148.0,158,73,9.4,2703,230.0,231.0,273.0,2.23,2.233,2.613,7.47,7.46,6.38,45.0,6.03,4.0,2.0,,,1.554,0.01507,7.21,5.2,1.06,29.0,126.0,29.0,7.27,6.11,166.0,180.0,0.797,280.8,78.6,9.88,,3.0,0.0,,750.0,0.75,,low_aerobic_estimated,,,,,,21:30:00,04:30:00,74.0,72.0,3.19,3.79,338.0,176.0,198.0,garmin_percent_max_hr,garmin_percent_ftp,103.1,103.1,621.3,41.7,44,1.6,229,8.5,2430,89.9,0,0.0,0,0.0,17,0.6,2638,97.8,41,1.5,0,0.0,0,0.0,3.8,134.7,7.46,225.2,2.0,5.72,151.4,2.23,7.47,232.5,0.01473,1.536,6.0,3.6,15,Thursday,2026-04-16,7.47,7.47,standard_easy,57.8,42.3,79.0,55.6,good,baseline,First run. EF 1.536 W/bpm (Joe Friel scale: 0.9 beginner -> 2.0 trained); aerobic decoupling 7.2% (above 5% threshold).,,,,,,,,,45.0,621.3,3.0,
2026-04-18_saturday_easy.fit,2026-04-18 05:53:31,2026-04-18,False,7k Easy,155.0,167,107,7.3,3169,228.0,232.0,324.0,2.212,2.244,2.93,7.53,7.43,5.69,52.8,7.01,4.0,4.0,31.0,32.0,1.471,0.01427,2.51,1.31,-3.01,29.0,130.0,29.0,10.22,7.52,162.0,178.0,0.809,281.4,79.4,9.85,,3.1,0.0,,879.0,0.879,,low_aerobic_estimated,,,,,,21:30:00,04:30:00,73.0,72.0,3.17,4.5,302.0,176.0,198.0,garmin_percent_max_hr,garmin_percent_ftp,103.1,103.1,721.4,99.4,19,0.6,134,4.2,1933,61.0,1083,34.2,0,0.0,51,1.6,769,24.7,2293,73.6,3,0.1,1,0.0,1.6,131.9,8.29,207.5,2.0,6.66,157.9,2.245,7.42,232.6,0.01422,1.474,4.1,3.9,15,Saturday,2026-04-18,7.53,7.42,standard_easy,52.2,79.9,76.0,65.5,good,improving,"EF dropped -4.0% to 1.474 W/bpm; aerobic decoupling 2.5% (below 5% — aerobically fit); decoupling improved -4.7% vs reference; score 65.5/100 (EF 52, decoupling 80, stability 76)",2026-04-16,0.7,-4.1,-4.0,-4.7,-3.5,,-4.1,97.8,1342.7,6.1,1.0
2026-04-23_thursday_easy.fit,2026-04-23 05:32:50,2026-04-23,False,45min Easy,149.0,157,73,8.0,2703,236.0,237.0,271.0,2.274,2.269,2.519,7.33,7.35,6.62,45.0,6.14,3.0,3.0,30.0,31.0,1.584,0.01526,4.95,3.43,0.57,31.0,124.0,31.0,5.66,4.15,164.0,176.0,0.821,284.2,81.0,9.87,,3.0,0.0,,750.0,0.75,,low_aerobic_estimated,,,,,,21:30:00,04:30:00,66.0,72.4,3.26,3.74,317.0,177.0,198.0,garmin_percent_max_hr,garmin_percent_ftp,103.8,103.8,637.3,78.5,31,1.1,189,7.0,2483,91.9,0,0.0,0,0.0,4,0.1,1741,64.5,956,35.4,0,0.0,0,0.0,3.1,134.5,7.31,232.1,2.0,5.84,151.9,2.263,7.37,237.7,0.0149,1.565,2.1,1.9,16,Thursday,2026-04-23,7.33,7.37,standard_easy,60.5,60.4,96.0,65.8,strong,improving,"EF improved +6.2% to 1.565 W/bpm; aerobic decoupling 5.0% (below 5% — aerobically fit); decoupling worsened +2.4% vs reference; score 65.8/100 (EF 60, decoupling 60, stability 96)",2026-04-18,0.7,3.9,6.2,2.4,4.8,,3.9,142.8,1980.0,9.1,0.0
2026-04-25_saturday_easy.fit,2026-04-25 05:58:04,2026-04-25,False,5k Easy,152.0,161,97,8.4,2207,235.0,237.0,261.0,2.269,2.27,2.463,7.35,7.34,6.77,36.8,5.01,2.0,3.0,31.0,32.0,1.546,0.01493,5.4,2.16,0.81,28.0,132.0,28.0,6.44,5.27,162.0,170.0,0.83,286.5,82.1,9.89,,2.8,0.0,,612.0,0.612,,low_aerobic_estimated,,,,,,21:30:00,04:30:00,64.0,72.4,3.25,3.6,317.0,177.0,198.0,garmin_percent_max_hr,garmin_percent_ftp,103.6,103.6,519.0,73.6,40,1.8,39,1.8,1986,90.0,142,6.4,0,0.0,8,0.4,1449,65.7,747,33.9,0,0.0,0,0.0,0.7,124.2,7.57,226.8,2.0,4.76,155.5,2.256,7.39,238.1,0.01451,1.532,2.7,2.4,16,Saturday,2026-04-25,7.35,7.39,short_easy,57.5,56.8,91.0,62.3,good,steady,"EF dropped -2.1% to 1.532 W/bpm; aerobic decoupling 5.4% (5-8% moderate cardiac drift); score 62.3/100 (EF 58, decoupling 57, stability 91)",2026-04-23,-0.3,-2.3,-2.1,0.5,-2.6,,-2.3,134.6,1877.7,8.9,1.0
2026-04-30_thursday_easy.fit,2026-04-30 05:26:03,2026-04-30,False,60min Easy,152.0,165,79,10.4,3610,240.0,242.0,338.0,2.284,2.284,2.948,7.3,7.3,5.65,60.1,8.24,9.0,12.0,30.0,31.0,1.579,0.01503,7.12,4.95,0.12,35.0,123.0,35.0,7.96,4.61,164.0,172.0,0.828,284.3,81.5,9.85,,3.2,0.0,,1001.0,1.001,,low_aerobic_estimated,,,,,,21:30:00,04:30:00,63.0,72.4,3.31,4.67,317.0,177.0,198.0,garmin_percent_max_hr,garmin_percent_ftp,105.1,105.1,867.8,52.9,59,1.6,181,5.0,2470,68.4,900,24.9,0,0.0,12,0.3,1691,46.9,1864,51.7,38,1.1,2,0.1,3.0,133.1,7.57,225.8,2.06,7.83,156.2,2.286,7.29,244.1,0.01464,1.563,4.3,4.0,17,Thursday,2026-04-30,7.30,7.29,long_easy,60.3,43.0,75.0,56.5,good,steady,"EF improved +2.0% to 1.563 W/bpm; aerobic decoupling 7.1% (5-8% moderate cardiac drift); decoupling worsened +1.7% vs reference; score 56.5/100 (EF 60, decoupling 43, stability 75)",2026-04-25,1.4,-0.4,2.0,1.7,0.9,1.4,-0.4,141.9,2024.1,9.0,0.0
2026-05-02_saturday_easy.fit,2026-05-02 05:25:54,2026-05-02,False,2026-05-02_saturday_easy,150.0,164,67,11.1,4400,237.0,238.0,285.0,2.276,2.272,2.743,7.32,7.33,6.08,73.3,10.01,6.0,9.0,32.0,33.0,1.58,0.01517,9.79,10.03,0.42,34.0,128.0,34.0,6.62,4.5,166.0,176.0,0.817,282.5,80.3,9.83,,3.2,0.0,,1221.0,1.221,,low_aerobic_estimated,,,,,,21:30:00,04:30:00,61.0,72.0,3.29,3.96,322.0,177.0,198.0,garmin_percent_max_hr,garmin_percent_ftp,104.1,104.1,1042.0,9.7,46,1.0,465,10.6,2964,67.4,925,21.0,0,0.0,13,0.3,3030,69.0,1351,30.7,0,0.0,0,0.0,7.8,133.0,7.31,231.1,2.5,9.51,154.6,2.268,7.35,237.8,0.01468,1.538,6.6,4.6,17,Saturday,2026-05-02,7.32,7.35,long_easy,58.0,21.7,69.0,46.9,fatigue_risk,fatigue_risk,"EF dropped -1.6% to 1.538 W/bpm; aerobic decoupling 9.8% (above 8% — high cardiac drift); decoupling worsened +2.7% vs reference; score 46.9/100 (EF 58, decoupling 22, stability 69)",2026-04-30,-0.8,1.0,-1.6,2.7,0.2,-0.8,1.0,170.2,2428.8,9.2,2.0
2026_05_07_thursday_easy.fit,2026-05-07 05:37:49,,False,60min Easy,149.0,164,87,10.0,3608,231.0,232.0,267.0,2.272,2.272,2.65,7.34,7.34,6.29,60.1,8.19,1.0,8.0,30.0,31.0,1.55,0.01525,8.43,7.91,0.08,35.0,129.0,35.0,5.27,2.27,166.0,176.0,0.818,282.9,80.6,9.86,,3.1,0.0,,1001.0,1.001,,low_aerobic_estimated,,,,,,21:30:00,04:30:00,63.0,71.0,3.25,3.76,322.0,177.0,198.0,garmin_percent_max_hr,garmin_percent_ftp,101.7,101.7,834.4,25.9,62,1.7,245,6.8,3069,85.1,232,6.4,0,0.0,2,0.1,3041,84.4,560,15.5,0,0.0,0,0.0,4.1,129.9,7.74,220.3,2.05,7.78,152.5,2.268,7.35,231.8,0.01487,1.52,6.4,4.4,18,Thursday,2026-05-07,7.34,7.35,long_easy,56.4,32.6,71.0,50.2,fatigue_risk,fatigue_risk,"EF dropped -1.2% to 1.520 W/bpm; aerobic decoupling 8.4% (above 8% — high cardiac drift); decoupling improved -1.4% vs reference; score 50.2/100 (EF 56, decoupling 33, stability 71)",2026-05-02,0.0,1.4,-1.2,-1.4,1.4,0.0,1.4,193.5,2744.2,9.5,0.0
2026-05-09_saturday_easy.fit,2026-05-09 06:07:28,2026-05-09,False,75min Easy,147.0,160,75,9.6,4502,232.0,232.0,284.0,2.269,2.266,2.585,7.35,7.35,6.45,75.0,10.22,1.0,8.0,29.0,31.0,1.578,0.01544,8.39,7.89,0.44,29.0,125.0,29.0,4.64,2.87,166.0,176.0,0.812,281.9,80.0,9.85,,3.2,0.0,,1250.0,1.25,,low_aerobic_estimated,,,,,,21:30:00,04:30:00,59.0,71.0,3.27,4.0,322.0,177.0,198.0,garmin_percent_max_hr,garmin_percent_ftp,102.2,102.2,1043.0,31.7,63,1.4,767,17.0,3663,81.4,9,0.2,0,0.0,3,0.1,3955,87.9,541,12.0,0,0.0,0,0.0,12.8,134.6,7.26,237.1,2.55,9.7,150.5,2.263,7.37,231.4,0.01504,1.538,5.5,4.0,18,Saturday,2026-05-09,7.35,7.37,long_easy,58.0,32.9,75.0,51.8,fatigue_risk,fatigue_risk,"EF improved +1.2% to 1.538 W/bpm; aerobic decoupling 8.4% (above 8% — high cardiac drift); score 51.8/100 (EF 58, decoupling 33, stability 75)",2026-05-07,-0.3,1.3,1.2,-0.0,1.1,-0.3,1.3,208.4,2919.4,9.5,-1.0
2026-05-14_thursday_easy.fit,2026-05-14 05:26:26,2026-05-14,False,75min Easy,150.0,161,73,8.2,4506,226.0,227.0,270.0,2.225,2.223,2.519,7.49,7.5,6.62,75.1,10.03,3.0,6.0,31.0,32.0,1.507,0.01483,6.45,6.99,0.0,35.0,123.0,35.0,4.37,3.13,166.0,176.0,0.796,282.6,79.0,9.93,,3.1,0.0,,1251.0,1.251,,low_aerobic_estimated,,,,,,21:30:00,04:30:00,55.0,71.0,3.18,3.8,323.0,176.0,197.0,garmin_percent_max_hr,garmin_percent_ftp,101.6,101.6,1020.4,59.0,43,1.0,171,3.8,3983,88.4,309,6.9,0,0.0,5,0.1,4394,97.6,103,2.3,0,0.0,0,0.0,2.9,131.5,7.35,229.3,2.51,9.53,153.4,2.226,7.49,227.6,0.01451,1.484,4.5,3.3,19,Thursday,2026-05-14,7.49,7.49,long_easy,53.1,48.4,82.0,55.8,good,steady,"EF dropped -3.5% to 1.484 W/bpm; aerobic decoupling 6.5% (5-8% moderate cardiac drift); decoupling improved -1.9% vs reference; score 55.8/100 (EF 53, decoupling 48, stability 82)",2026-05-09,-1.6,-1.9,-3.5,-1.9,-3.5,-1.6,-1.9,210.2,2897.8,9.4,1.0
2026-05-21_thursday_easy.fit,2026-05-21 05:28:37,2026-05-21,False,90min Easy,151.0,163,69,8.7,5403,234.0,234.0,273.0,2.272,2.269,2.51,7.34,7.34,6.64,90.0,12.28,5.0,10.0,31.0,33.0,1.55,0.01505,7.31,8.64,0.29,31.0,130.0,31.0,5.17,2.49,168.0,176.0,0.808,280.1,79.1,9.8,,3.4,0.0,,1500.0,1.5,,low_aerobic_estimated,,,,,,21:30:00,04:30:00,49.0,71.0,3.3,3.85,323.0,176.0,196.0,garmin_percent_max_hr,garmin_percent_ftp,103.0,103.0,1261.8,38.2,44,0.8,238,4.4,3680,68.1,1441,26.7,0,0.0,10,0.2,4056,75.1,1332,24.7,0,0.0,0,0.0,4.0,134.7,7.26,227.7,3.0,11.66,153.7,2.266,7.35,234.5,0.01474,1.525,6.4,3.9,20,Thursday,2026-05-21,7.34,7.35,long_easy,56.8,41.5,76.0,54.3,good,steady,"EF improved +2.8% to 1.525 W/bpm; aerobic decoupling 7.3% (5-8% moderate cardiac drift); score 54.3/100 (EF 57, decoupling 42, stability 76)",2026-05-14,1.9,-0.2,2.8,0.9,1.6,1.9,-0.2,240.1,3325.2,9.7,1.0
