date,get_stats_restingHeartRate
2026-04-11,
2026-04-12,
2026-04-13,
2026-04-14,
2026-04-15,
2026-04-16,77.0
2026-04-17,69.0
2026-04-18,70.0
2026-04-19,62.0
2026-04-20,60.0
2026-04-21,65.0
2026-04-22,67.0
2026-04-23,67.0
2026-04-24,61.0
2026-04-25,62.0
2026-04-26,57.0
2026-04-27,62.0
2026-04-28,65.0
2026-04-29,66.0
2026-04-30,62.0
2026-05-01,53.0
2026-05-02,65.0
2026-05-03,60.0
2026-05-04,65.0
2026-05-05,65.0
2026-05-06,66.0
2026-05-07,54.0
2026-05-08,54.0
2026-05-09,49.0
2026-05-10,51.0
2026-05-11,61.0
2026-05-12,60.0
2026-05-13,59.0
2026-05-14,47.0
2026-05-15,44.0
2026-05-16,49.0
2026-05-17,48.0
2026-05-18,51.0
2026-05-19,47.0
2026-05-20,52.0
2026-05-21,53.0
2026-05-22,52.0
2026-05-23,51.0
2026-05-24,56.0
2026-05-25,55.0
2026-05-26,56.0
2026-05-27,56.0
2026-05-28,58.0
2026-05-29,59.0
2026-05-30,59.0
2026-05-31,54.0
2026-06-01,59.0
2026-06-02,61.0
2026-06-03,61.0
2026-06-04,62.0
2026-06-05,64.0
2026-06-06,63.0
2026-06-07,60.0
2026-06-08,50.0
2026-06-09,65.0
2026-06-10,66.0
2026-06-11,64.0
2026-06-12,59.0
2026-06-13,65.0
2026-06-14,57.0
2026-06-15,63.0
2026-06-16,62.0
2026-06-17,66.0
2026-06-18,66.0
2026-06-19,62.0
2026-06-20,67.0
2026-06-21,59.0
2026-06-22,49.0
2026-06-23,66.0
2026-06-24,63.0
2026-06-25,65.0
2026-06-26,60.0
2026-06-27,64.0
2026-06-28,59.0
2026-06-29,58.0
2026-06-30,63.0
2026-07-01,52.0
2026-07-02,63.0
2026-07-03,62.0
2026-07-04,61.0
2026-07-05,60.0
2026-07-06,61.0
2026-07-07,61.0
2026-07-08,57.0
2026-07-09,58.0
2026-07-10,50.0
2026-07-11,61.0
2026-07-12,56.0
2026-07-13,61.0
2026-07-14,61.0
2026-07-15,62.0
2026-07-16,59.0
2026-07-17,59.0
2026-07-18,63.0
