file,date,session_type,interval_index,interval_duration_s,recovery_duration_s,pace_min_per_km,avg_hr,max_hr,avg_power,cadence_spm,stride_length_m,ground_contact_time_ms,vertical_oscillation_mm,hr_response_lag_s,hr_recovery_60s_bpm
2026-04-28_tuesday_interval.fit,2026-04-28 05:32:06,interval,1,450.249,211.19225,7.5041272699984995,126.0,136.0,227.0,160.0,0.8208,289.3,82.1,0.0,65.0
2026-04-28_tuesday_interval.fit,2026-04-28 05:32:06,interval,2,262.601,211.19225,5.471656817684395,155.0,168.0,303.0,164.0,1.118,265.5,94.4,,97.0
2026-04-28_tuesday_interval.fit,2026-04-28 05:32:06,interval,3,263.341,211.19225,5.486065393899495,159.0,172.0,307.0,162.0,1.1056,270.7,95.6,,101.0
2026-04-28_tuesday_interval.fit,2026-04-28 05:32:06,interval,4,262.682,211.19225,5.471656817684395,167.0,177.0,313.0,158.0,1.1191,273.0,97.2,,106.0
2026-04-28_tuesday_interval.fit,2026-04-28 05:32:06,interval,5,262.149,211.19225,5.4608999563128,170.0,180.0,346.0,162.0,1.116,270.3,95.9,,109.0
2026-04-28_tuesday_interval.fit,2026-04-28 05:32:06,interval,6,260.345,211.19225,5.4235817333767224,173.0,185.0,302.0,162.0,1.1148,267.5,95.0,,
2026-05-05_tuesday_interval.fit,2026-05-05 05:34:04,interval,1,435.617,222.53466666666665,7.259001161440186,130.0,141.0,236.0,162.0,0.8388,284.6,82.3,0.0,67.0
2026-05-05_tuesday_interval.fit,2026-05-05 05:34:04,interval,2,323.408,222.53466666666665,5.390254420008624,157.0,166.0,308.0,164.0,1.1012,265.1,94.0,,92.0
2026-05-05_tuesday_interval.fit,2026-05-05 05:34:04,interval,3,331.747,222.53466666666665,5.529750055297502,160.0,171.0,317.0,158.0,1.1065999999999998,264.8,92.8,,97.0
2026-05-05_tuesday_interval.fit,2026-05-05 05:34:04,interval,4,325.205,222.53466666666665,5.420054200542006,165.0,174.0,299.0,162.0,1.0985999999999998,265.0,93.8,,100.0
2026-05-05_tuesday_interval.fit,2026-05-05 05:34:04,interval,5,329.172,222.53466666666665,5.486065393899495,166.0,176.0,326.0,164.0,1.096,268.1,94.5,,102.0
2026-05-05_tuesday_interval.fit,2026-05-05 05:34:04,interval,6,120.0,222.53466666666665,13.071895424836601,149.0,176.0,104.0,204.0,0.9517,266.4,60.2,,102.0
2026-05-05_tuesday_interval.fit,2026-05-05 05:34:04,interval,7,326.558,222.53466666666665,5.443065534509036,168.0,174.0,301.0,164.0,1.0867,267.7,93.6,,100.0
2026-05-05_tuesday_interval.fit,2026-05-05 05:34:04,interval,8,120.0,222.53466666666665,14.710208884966166,149.0,175.0,88.0,172.0,1.075,259.4,60.3,,
2026-05-12_tuesday_interval.fit,2026-05-12 05:24:20,interval,1,261.86,212.05963636363637,5.455537370430987,163.0,176.0,310.0,168.0,1.0928,262.5,92.8,,103.0
2026-05-12_tuesday_interval.fit,2026-05-12 05:24:20,interval,2,262.88,212.05963636363637,5.477051155657794,159.0,171.0,304.0,168.0,1.0725,264.4,92.1,,98.0
2026-05-12_tuesday_interval.fit,2026-05-12 05:24:20,interval,3,262.769,212.05963636363637,5.475251861585632,160.0,171.0,304.0,166.0,1.0894000000000001,264.5,93.1,,98.0
2026-05-12_tuesday_interval.fit,2026-05-12 05:24:20,interval,4,263.253,212.05963636363637,5.484260173302621,163.0,172.0,301.0,166.0,1.0706,264.5,91.6,,99.0
2026-05-12_tuesday_interval.fit,2026-05-12 05:24:20,interval,5,264.399,212.05963636363637,5.507821105970478,164.0,174.0,301.0,166.0,1.0820999999999998,265.0,92.5,,101.0
2026-05-12_tuesday_interval.fit,2026-05-12 05:24:20,interval,6,263.35,212.05963636363637,5.486065393899495,168.0,175.0,304.0,166.0,1.0822,262.6,92.1,,102.0
2026-05-12_tuesday_interval.fit,2026-05-12 05:24:20,interval,7,262.191,212.05963636363637,5.4626898284715395,169.0,175.0,304.0,166.0,1.0825,263.0,92.2,,102.0
2026-05-12_tuesday_interval.fit,2026-05-12 05:24:20,interval,8,263.596,212.05963636363637,5.491488193300384,173.0,184.0,301.0,166.0,1.0683,264.2,91.6,,
2026-05-16_saturday_threshold.fit,2026-05-16 05:31:27,threshold,1,388.762,294.80675,6.480041472265423,146.0,154.0,253.0,166.0,0.9098999999999999,271.6,83.6,0.0,24.0
2026-05-16_saturday_threshold.fit,2026-05-16 05:31:27,threshold,2,387.279,294.80675,6.454944487477408,156.0,159.0,260.0,168.0,0.9207000000000001,272.3,84.5,,29.0
2026-05-16_saturday_threshold.fit,2026-05-16 05:31:27,threshold,3,388.745,294.80675,6.480041472265423,166.0,172.0,264.0,166.0,0.927,276.9,86.3,,42.0
2026-05-16_saturday_threshold.fit,2026-05-16 05:31:27,threshold,4,388.686,294.80675,6.477522995206633,168.0,173.0,265.0,166.0,0.9251,275.9,85.9,,43.0
2026-05-16_saturday_threshold.fit,2026-05-16 05:31:27,threshold,5,388.514,294.80675,6.4750064750064755,170.0,172.0,264.0,166.0,0.9262,276.3,86.1,,42.0
2026-05-16_saturday_threshold.fit,2026-05-16 05:31:27,threshold,6,390.027,294.80675,6.500260010400416,172.0,176.0,263.0,166.0,0.9182,276.5,85.6,,46.0
2026-05-16_saturday_threshold.fit,2026-05-16 05:31:27,threshold,7,94.968,294.80675,6.520605112154407,173.0,176.0,259.0,166.0,0.9086000000000001,277.7,85.3,,
2026-05-19_tuesday_interval.fit,2026-05-19 05:24:12,interval,1,342.319,242.26216666666664,5.705808513066302,151.0,164.0,289.0,164.0,1.0595,268.5,91.9,,96.0
2026-05-19_tuesday_interval.fit,2026-05-19 05:24:12,interval,2,344.572,242.26216666666664,5.743165632896853,156.0,165.0,315.0,162.0,1.0553,271.2,93.1,,97.0
2026-05-19_tuesday_interval.fit,2026-05-19 05:24:12,interval,3,340.824,242.26216666666664,5.68052715291979,159.0,167.0,289.0,164.0,1.0520999999999998,267.7,91.7,,99.0
2026-05-19_tuesday_interval.fit,2026-05-19 05:24:12,interval,4,342.989,242.26216666666664,5.715592135345221,160.0,171.0,312.0,164.0,1.0358,268.3,90.8,,103.0
2026-05-19_tuesday_interval.fit,2026-05-19 05:24:12,interval,5,341.583,242.26216666666664,5.692167577413479,160.0,167.0,287.0,166.0,1.0374,266.9,90.6,,99.0
2026-05-19_tuesday_interval.fit,2026-05-19 05:24:12,interval,6,343.668,242.26216666666664,5.727376861397479,163.0,172.0,314.0,168.0,1.0359,265.9,89.9,,104.0
