date,stress,stress_category,dayofweek,daily_change
2026-04-16,39.0,Low,Thursday,
2026-04-17,17.0,Rest,Friday,-22.0
2026-04-18,26.0,Low,Saturday,9.0
2026-04-19,17.0,Rest,Sunday,-9.0
2026-04-20,23.0,Rest,Monday,6.0
2026-04-21,20.0,Rest,Tuesday,-3.0
2026-04-22,25.0,Low,Wednesday,5.0
2026-04-23,24.0,Rest,Thursday,-1.0
2026-04-24,15.0,Rest,Friday,-9.0
2026-04-25,26.0,Low,Saturday,11.0
2026-04-26,17.0,Rest,Sunday,-9.0
2026-04-27,17.0,Rest,Monday,0.0
2026-04-28,22.0,Rest,Tuesday,5.0
2026-04-29,26.0,Low,Wednesday,4.0
2026-04-30,21.0,Rest,Thursday,-5.0
2026-05-01,12.0,Rest,Friday,-9.0
2026-05-02,29.0,Low,Saturday,17.0
2026-05-03,20.0,Rest,Sunday,-9.0
2026-05-04,26.0,Low,Monday,6.0
2026-05-05,24.0,Rest,Tuesday,-2.0
2026-05-06,38.0,Low,Wednesday,14.0
2026-05-07,9.0,Rest,Thursday,-29.0
2026-05-08,16.0,Rest,Friday,7.0
2026-05-09,20.0,Rest,Saturday,4.0
2026-05-10,8.0,Rest,Sunday,-12.0
2026-05-11,30.0,Low,Monday,22.0
2026-05-12,40.0,Low,Tuesday,10.0
2026-05-13,37.0,Low,Wednesday,-3.0
2026-05-14,27.0,Low,Thursday,-10.0
2026-05-15,10.0,Rest,Friday,-17.0
2026-05-16,22.0,Rest,Saturday,12.0
2026-05-17,22.0,Rest,Sunday,0.0
2026-05-18,17.0,Rest,Monday,-5.0
2026-05-19,28.0,Low,Tuesday,11.0
2026-05-20,26.0,Low,Wednesday,-2.0
2026-05-21,46.0,Low,Thursday,20.0
2026-05-22,33.0,Low,Friday,-13.0
2026-05-23,28.0,Low,Saturday,-5.0
2026-05-24,29.0,Low,Sunday,1.0
2026-05-25,42.0,Low,Monday,13.0
2026-05-26,47.0,Low,Tuesday,5.0
2026-05-27,44.0,Low,Wednesday,-3.0
2026-05-28,48.0,Low,Thursday,4.0
2026-05-29,35.0,Low,Friday,-13.0
2026-05-30,43.0,Low,Saturday,8.0
2026-05-31,25.0,Low,Sunday,-18.0
2026-06-01,32.0,Low,Monday,7.0
2026-06-02,50.0,Medium,Tuesday,18.0
2026-06-03,40.0,Low,Wednesday,-10.0
2026-06-04,66.0,Medium,Thursday,26.0
2026-06-05,37.0,Low,Friday,-29.0
2026-06-06,64.0,Medium,Saturday,27.0
2026-06-07,33.0,Low,Sunday,-31.0
2026-06-08,21.0,Rest,Monday,-12.0
2026-06-09,82.0,High,Tuesday,61.0
2026-06-10,53.0,Medium,Wednesday,-29.0
2026-06-11,48.0,Low,Thursday,-5.0
2026-06-12,36.0,Low,Friday,-12.0
2026-06-13,62.0,Medium,Saturday,26.0
2026-06-14,36.0,Low,Sunday,-26.0
2026-06-15,40.0,Low,Monday,4.0
2026-06-16,51.0,Medium,Tuesday,11.0
2026-06-17,49.0,Low,Wednesday,-2.0
2026-06-18,46.0,Low,Thursday,-3.0
2026-06-19,33.0,Low,Friday,-13.0
2026-06-20,65.0,Medium,Saturday,32.0
2026-06-21,35.0,Low,Sunday,-30.0
2026-06-22,25.0,Low,Monday,-10.0
2026-06-23,46.0,Low,Tuesday,21.0
2026-06-24,35.0,Low,Wednesday,-11.0
2026-06-25,43.0,Low,Thursday,8.0
2026-06-26,32.0,Low,Friday,-11.0
2026-06-27,47.0,Low,Saturday,15.0
2026-06-28,32.0,Low,Sunday,-15.0
2026-06-29,32.0,Low,Monday,0.0
2026-06-30,47.0,Low,Tuesday,15.0
2026-07-01,28.0,Low,Wednesday,-19.0
2026-07-02,46.0,Low,Thursday,18.0
2026-07-03,25.0,Low,Friday,-21.0
2026-07-04,34.0,Low,Saturday,9.0
2026-07-05,32.0,Low,Sunday,-2.0
2026-07-06,33.0,Low,Monday,1.0
2026-07-07,34.0,Low,Tuesday,1.0
2026-07-08,26.0,Low,Wednesday,-8.0
2026-07-09,43.0,Low,Thursday,17.0
2026-07-10,34.0,Low,Friday,-9.0
