,correlation
get_stats_and_body_bodyBatteryMostRecentValue,-0.5167705983599864
get_stats_bodyBatteryMostRecentValue,-0.5167705983599864
get_stats_bodyBatteryChargedValue,-0.5051831138902738
get_stats_and_body_bodyBatteryChargedValue,-0.5051831138902738
get_stats_bodyBatteryAtWakeTime,-0.44655336391486106
get_stats_and_body_bodyBatteryAtWakeTime,-0.44655336391486106
get_sleep_data_avgOvernightHrv,-0.3948838835585939
get_hrv_data_hrvSummary_lastNightAvg,-0.3948838835585939
get_sleep_data_bodyBatteryChange,-0.3764425628763804
get_stats_bodyBatteryDuringSleep,-0.3684609623755785
get_stats_and_body_bodyBatteryDuringSleep,-0.3684609623755785
get_stats_and_body_bodyBatteryLowestValue,-0.3272430090851524
get_stats_bodyBatteryLowestValue,-0.3272430090851524
get_stats_and_body_bodyBatteryHighestValue,-0.2737179884580741
get_stats_bodyBatteryHighestValue,-0.2737179884580741
get_hrv_data_hrvSummary_weeklyAvg,-0.2538118417228628
get_stats_and_body_lastSevenDaysAvgRestingHeartRate,-0.05945577436726463
get_stats_lastSevenDaysAvgRestingHeartRate,-0.05945577436726463
get_hrv_data_hrvSummary_lastNight5MinHigh,-0.009950403467461304
get_sleep_data_restingHeartRate,0.1020859222346555
get_sleep_data_dailySleepDTO_avgHeartRate,0.17198030318796204
get_stats_and_body_bodyBatteryDrainedValue,0.25353062513616054
get_stats_bodyBatteryDrainedValue,0.25353062513616054
get_stats_and_body_maxAvgHeartRate,0.2601954113971033
get_stats_maxAvgHeartRate,0.2601954113971033
get_stats_maxHeartRate,0.26373659084304196
get_stats_and_body_maxHeartRate,0.26373659084304196
get_stats_and_body_restingHeartRate,0.38628436335282196
get_stats_restingHeartRate,0.38628436335282196
get_stats_restingCaloriesFromActivity,0.468826868833899
get_stats_and_body_restingCaloriesFromActivity,0.468826868833899
date,0.4908547457687939
get_stats_minAvgHeartRate,0.5626539366947683
get_stats_and_body_minAvgHeartRate,0.5626539366947683
get_stats_and_body_minHeartRate,0.5911049881378029
get_stats_minHeartRate,0.5911049881378029
